List of GSM companies w.e.f 06.06.2019,,,,
Sr. No.,Scrip code,Security Name,ISIN,GSM Stage
1,540874,7Seas Entertainment Ltd,INE454F01010,I
2,538351,A.F. Enterprises Ltd,INE663P01015,II
3,531611,Aadhaar Ventures India Ltd,INE063D01030,VI
4,542377,Aar Shyam India Investment Company Ltd,INE512R01010,I
5,526488,AARV Infratel Ltd,INE432N01010,0
6,513119,ABC Gas International Ltd,INE173M01012,I
7,532682,ABG Shipyard Ltd,INE067H01016,I
8,538952,Abhinav Leasing & Finance Ltd,INE211D01027,I
9,532831,Abhishek Corporation Ltd,INE004I01017,I
10,538935,Abhishek Finlease Ltd,INE723C01015,I
11,539544,Abhishek Infraventures Ltd,INE281P01016,I
12,511756,Abirami Financial Services India Ltd,INE195I01013,II
13,539661,Ace Men Engg Works Ltd,INE023R01018,I
14,538570,Achal Investments Ltd,INE860P01025,I
15,530901,ACIL Cotton Industries Ltd,INE066C01035,VI
16,513149,Acrow India Ltd,INE950D01012,I
17,511706,Action Financial Services India Ltd,INE357A01032,I
18,538563,Adarsh Mercantile Ltd,INE673E01018,0
19,526711,Adarsh Plant Protect Ltd,INE627D01016,I
20,539493,Adharshila Capital Services Ltd,INE269F01012,0
21,514113,Adinath Textiles Ltd,INE207C01019,0
22,534707,Aditri Industries Ltd,INE636N01016,II
23,523120,Ador Multiproducts Ltd,INE628D01014,0
24,506947,Advance Petrochemicals Ltd,INE334N01018,0
25,531047,Advance PowerInfra Tech Ltd,INE009D01017,0
26,517552,Advanced Micronic Devices Ltd,INE903C01013,III
27,516020,Agio Paper & Industries Ltd,INE112C01011,0
28,511692,Ajcon Global Services Ltd,INE759C01019,I
29,526628,Ajwa Fun World & Resort Ltd,INE863E01015,I
30,533602,Lesha Industries Ltd,INE050L01048,0
31,526707,Alchemist Ltd,INE964B01033,I
32,531156,Alfavision Overseas India Ltd,INE883B01019,0
33,531581,Alka Diamond Industries Ltd,INE963D01015,0
34,532166,Alka Securities Ltd,INE921C01031,0
35,530715,Alps Industries Ltd,INE093B01015,II
36,538423,Alps Motor Finance Ltd,INE729P01022,0
37,512008,Amani Trading & Exports Ltd,INE886D01018,0
38,538465,Amarnath Securities Ltd,INE745P01010,0
39,521076,Amit Spinning Industries Ltd,INE988A01026,VI
40,531681,Amradeep Industries Ltd,INE673C01020,0
41,531252,Aneri Fincap Ltd,INE720D01019,0
42,530721,ANG Industries Ltd,INE017D01010,I
43,531673,Anka India Ltd,INE067C01025,II
44,532870,Ankit Metal & Power Ltd,INE106I01010,I
45,539697,Anubhav Industrial Resources Ltd,INE966Q01010,III
46,500014,Apple Finance Ltd,INE096A01010,I
47,539469,Apunka Invest Commercial Ltd,INE258R01010,V
48,512344,Aravali Securities & Finance Ltd,INE068C01015,III
49,530261,Arcuttipore Tea Company Ltd,INE674C01010,0
50,504370,Ardi Investments & Trading Company Ltd,NA,0
51,530787,Inland Printers Ltd,INE055O01025,0
